event,date
New_Year,1/1/2018
Chinese_New_Year,2/15/2018
Chinese_New_Year,2/16/2018
Chinese_New_Year,2/17/2018
Chinese_New_Year,2/18/2018
Chinese_New_Year,2/19/2018
Chinese_New_Year,2/20/2018
Peace_Memorial,2/28/2018
Makeup_Workday,3/31/2018
Tomb_Sweeping,4/4/2018
Tomb_Sweeping,4/5/2018
Tomb_Sweeping,4/6/2018
Tomb_Sweeping,4/7/2018
Tomb_Sweeping,4/8/2018
Labor_Day,5/1/2018
Dragon_Boat,6/16/2018
Dragon_Boat,6/17/2018
Dragon_Boat,6/18/2018
20180710_Typh_Maria,7/10/2018
Mid_Autumn,9/22/2018
Mid_Autumn,9/23/2018
Mid_Autumn,9/24/2018
Double_Tenth ,10/10/2018
Makeup_Workday,12/22/2018
New_Year,12/29/2018
New_Year,12/30/2018
New_Year,12/31/2018
New_Year,1/1/2019
Makeup_Workday,1/19/2019
Chinese_New_Year,2/2/2019
Chinese_New_Year,2/3/2019
Chinese_New_Year,2/4/2019
Chinese_New_Year,2/5/2019
Chinese_New_Year,2/6/2019
Chinese_New_Year,2/7/2019
Chinese_New_Year,2/8/2019
Chinese_New_Year,2/9/2019
Chinese_New_Year,2/10/2019
Makeup_Workday,2/23/2019
Peace_Memorial,2/28/2019
Peace_Memorial,3/1/2019
Peace_Memorial,3/2/2019
Peace_Memorial,3/3/2019
Tomb_Sweeping,4/4/2019
Tomb_Sweeping,4/5/2019
Tomb_Sweeping,4/6/2019
Tomb_Sweeping,4/7/2019
Labor_Day,5/1/2019
Dragon_Boat,6/7/2019
Dragon_Boat,6/8/2019
Dragon_Boat,6/9/2019
20190809_Typh_Lekima,8/9/2019
Mid_Autumn,9/13/2019
Mid_Autumn,9/14/2019
Mid_Autumn,9/15/2019
20190930_Typh_Mitag,9/30/2019
Makeup_Workday,10/5/2019
Double_Tenth ,10/10/2019
Double_Tenth ,10/11/2019
Double_Tenth ,10/12/2019
Double_Tenth ,10/13/2019
New_Year,1/1/2020
Chinese_New_Year,1/23/2020
Chinese_New_Year,1/24/2020
Chinese_New_Year,1/25/2020
Chinese_New_Year,1/26/2020
Chinese_New_Year,1/27/2020
Chinese_New_Year,1/28/2020
Chinese_New_Year,1/29/2020
Makeup_Workday,2/15/2020
Peace_Memorial,2/28/2020
Peace_Memorial,2/29/2020
Peace_Memorial,3/1/2020
Tomb_Sweeping,4/2/2020
Tomb_Sweeping,4/3/2020
Tomb_Sweeping,4/4/2020
Tomb_Sweeping,4/5/2020
Labor_Day,5/1/2020
Makeup_Workday,6/20/2020
Dragon_Boat,6/25/2020
Dragon_Boat,6/26/2020
Dragon_Boat,6/27/2020
Dragon_Boat,6/28/2020
Makeup_Workday,9/26/2020
Mid_Autumn,10/1/2020
Mid_Autumn,10/2/2020
Mid_Autumn,10/3/2020
Mid_Autumn,10/4/2020
Double_Tenth ,10/9/2020
Double_Tenth ,10/10/2020
Double_Tenth ,10/11/2020
New_Year,1/1/2021
New_Year,1/2/2021
New_Year,1/3/2021
Chinese_New_Year,2/10/2021
Chinese_New_Year,2/11/2021
Chinese_New_Year,2/12/2021
Chinese_New_Year,2/13/2021
Chinese_New_Year,2/14/2021
Chinese_New_Year,2/15/2021
Chinese_New_Year,2/16/2021
Makeup_Workday,2/20/2021
Peace_Memorial,2/27/2021
Peace_Memorial,2/28/2021
Peace_Memorial,3/1/2021
Tomb_Sweeping,4/2/2021
Tomb_Sweeping,4/3/2021
Tomb_Sweeping,4/4/2021
Tomb_Sweeping,4/5/2021
Long_Weekend,4/30/2021
Labor_Day,5/1/2021
Labor_Day,5/2/2021
20210513_Blackout,5/13/2021
20210517_Blackout,5/17/2021
Dragon_Boat,6/12/2021
Dragon_Boat,6/13/2021
Dragon_Boat,6/14/2021
Makeup_Workday,9/11/2021
20210912_Typh_Chanthu,9/12/2021
Mid_Autumn,9/18/2021
Mid_Autumn,9/19/2021
Mid_Autumn,9/20/2021
Mid_Autumn,9/21/2021
Double_Tenth ,10/9/2021
Double_Tenth ,10/10/2021
Double_Tenth ,10/11/2021
New_Year,12/31/2021
New_Year,1/1/2022
New_Year,1/2/2022
Makeup_Workday,1/22/2022
Chinese_New_Year,2/1/2022
Chinese_New_Year,2/2/2022
Chinese_New_Year,2/3/2022
Chinese_New_Year,2/4/2022
Chinese_New_Year,2/5/2022
Chinese_New_Year,2/6/2022
Peace_Memorial,2/26/2022
Peace_Memorial,2/27/2022
Peace_Memorial,2/28/2022
20220303_Blackout,3/3/2022
Tomb_Sweeping,4/4/2022
Tomb_Sweeping,4/5/2022
Tomb_Sweeping,4/6/2022
Tomb_Sweeping,4/7/2022
Labor_Day,4/30/2022
Labor_Day,5/1/2022
Labor_Day,5/2/2022
Dragon_Boat,6/3/2022
Dragon_Boat,6/4/2022
Dragon_Boat,6/5/2022
Mid_Autumn,9/9/2022
Mid_Autumn,9/10/2022
Mid_Autumn,9/11/2022
Double_Tenth ,10/8/2022
Double_Tenth ,10/9/2022
Double_Tenth ,10/10/2022
New_Year,12/31/2022
